"Train Accuracy = 62.0000004768"
"Loss = 0.639883"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"pxreya","idk tbh","too many snakes on the TL tonight","0084B4","C0DEED","1","1","True"
"the_gail_butler","i like breathing","10 Things Mentally Tough People Do, From a Former Navy SEAL @billmurphyjr https://t.co/GzKGi5m4o6 via @Inc","3B94D9","0","1","1","True"
"MrLaw3131","Dnt fuck wit to many put it dwn by myself #TeamAries #TeamFreaky #TeamTaken.!! Married 2 @LaLaLa_LovesU 7-3-12","Niggas swear up and down they solo but stay 4+ deep ___","0084B4","C0DEED","0","1","False"
"PertinaxHellcat"," Be careful who you trust; the Devil was once an angel.  {[SPN RP 21+ || Hunter || #Hellcat || #BananaLovers || OC]}","|| Because it's Jensen Ackles and he's a babe.  https://t.co/2oANOF1c7j","CE7834","F0A830","1","1","True"
"bambrewer","","@bosshog221 work in progress nearly there. You think brining a new coach in won't hurt the program for 2 or more years? Recruiting and fans?","0084B4","C0DEED","0","1","False"
"marieecl","#BeyHive","I pray to God the weather is nice this weekend, I need a beach day","CC7EE0","FFFFFF","1","1","True"
"SIRBIRD100","*In God I Trust*","What the hell __ https://t.co/49whDvOT0X","38543","EEEEEE","0","0","True"
"whoknowstv","I'm a voiceover extraordinaire & an off key songstress. A wannabe actress & an awesome extra. Mostly I try to be the daughter that my momma raised. Peace out!","Okay, #YR is giving me a headache. One minute they hate Adam &amp; the next minute they are treating Adam like he is a saint. Make up you mind!","FF0000","65B0DA","1","1","True"
"squidhendrix","it's all a mindset","when you're 10 minutes into netflix and chill and he gives you this look https://t.co/fcNvotJaZr","0084B4","C0DEED","1","0","False"
"MisterIyanu","Statistician | OAP | Compere| VJ | Voice over artiste| Sports Writer and Analyst| @chelseafc fan| For bookings call 08105794681 PIN:7A336FD5","The Impudence of Rabiu Kwakwanso and his Fulani brothers - by FFK: Written by Femi Fani-Kayode...Read below..I... https://t.co/5oMTVhgHRi","0084B4","C0DEED","0","0","True"
