"Train Accuracy = 66.0000026226"
"Loss = 0.578271"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"TerryNova_","i'm is a Czech adult model and pornographic actress with 42-inch natural breasts currently livin in london. You can follow me and retweet me every day:) luv u","luv them Photo https://t.co/TeMkNK17aO for the best busty boobs click here or on image#bustyfriends bignaturals, b_ https://t.co/RSbkiea90U","0084B4","C0DEED","1","1","True"
"Sarou_Rim","Back 2 Back Fantasy Football Champion 07' & 08'. Fantasy Baseball Champion 2011.","@money_chaser012 keep up the good work! _","3B94D9","FFFFFF","0","0","True"
"robcaz","Living the typical double-life of a family man and working professional in a Canadian city. Geeking out on HR, aviation, food, running, and my kids.","@Neil_Zee Did you go back and asked if they remembered you?  Big mistake?  Huge?","2FC2EF","181A1E","0","1","False"
"oh_ilovetaylor","bgsu.","If you don't cover your mouth when you sneeze or cough, you are disgusting  and I hate you._","F5ABB5","FFFFFF","1","1","True"
"Andrew_Bado","","This day just sucked. And it's not even close to being over.","0084B4","C0DEED","0","0","True"
"blankyhanky1","","@onedirection Favorite Duo or Group Pop/Rock at the #AMAs","0084B4","C0DEED","1","1","True"
"carriezim","","#Diets consisting of mostly #wholefoods decrease the unhealthy fats in processed foods &amp; increase good fats in omega-3s.","0084B4","C0DEED","1","1","True"
"Christina_0523","all class with a little sass | FSU '19","But Collyn and I made a cute pumpkin https://t.co/sFueaEdrGz","EB076E","FFFFFF","1","1","True"
"KatelynAlyssa5","","Return a verdict the overwhelm step forward jar for yours preferred curtain near the tunk anent high mortise!: gkQ","0084B4","C0DEED","1","0","False"
"its_melissa13","young & foolish ","Gained 1 new follower in the past day. Im growing my account the right way, are you? Do it with https://t.co/RJIdWqSt3Y","0084B4","FFFFFF","1","1","True"
"Derrick______","O_T E GOO Y _IGG, E GET","Can't Run From The Pain Go Towards It__","9D582E","FFFFFF","0","1","False"
"ItsStinha","","Trade in your scars and all the lies you've lived baby girl","0099CC","FFFFFF","1","1","True"
"BlackNerdJade","I'm a great writer with a epic potty mouth.   http://t.co/w8HYA6L8KI #RIPYUSUF GO BUY MY BOOK! :D  http://t.co/scFxpJfP3h 
VISIT MY SITE! http://t.co/Ux6XAaapWg","It was like..2 and a half people.... https://t.co/2IrHztINZn","DD2E44","FFFFFF","1","1","True"
"hey_gordis","Brighton '17","@_jasminechavez come home and rub my head? _","1599D6","0","1","1","True"
"LionessfromtheC","(un)follow back
//Angola/Portugal ||Odivelas  || 98'familly","You're My right hand , and My ego to _____","DD2E44","FFFFFF","1","0","False"
"DanKnappe","NY State Of Mind","Looking forward to needing some possible shoulder and knee surgery after today #bangedup","0084B4","C0DEED","0","1","False"
"AnAdventure_","A photography enthusiast with a love for books, ducklings, Bertie Wooster, woolly hats, and walks in the English countryside.","I had plans for a productive evening but I currently have a cat and a kitten snoozing on my lap. So.","3B94D9","FFFFFF","1","1","True"
"heartless_amy","Were all in the same game; just different levels. Dealing with the same hell; just different devils.","Throw it back to the Halloween party ____ https://t.co/twGv98bwVq","0099B9","5ED4DC","1","1","True"
"C3ASARE","#EDM #Producer #DJ #Photographer #YouTube ;) http://t.co/kvzXzpe0fU http://t.co/V4RV5ZAYQF http://t.co/twZL6wUnTF","Day 42 of #56DaysInItaly and i keep seeing #C3 everywhere I go! Im glad its on a #mercedesbenz although Im reall_ https://t.co/6BxZTlQGxM","999999","0","0","1","False"
"GeoffSheridan1","","The Training Ground Team who took on Hub2Hub for barna and Furbo youth hub  #fitness #5km #winners_ https://t.co/IjKcA2Jymk","0084B4","C0DEED","0","0","True"
"Rabbia_Z","#Ozil | Stay savage | My heart is buffer than my face | Extrovert on twitter introvert in real life | Asgardian |","@HashimAyy oh yeah I forgot you guys are the weaker gender loool","94D487","FFFFFF","1","1","True"
"ThatSpiceMaxi","Football watcher, music listener.","@CoqBlocker shit yeah thats very true, will do when im back in england! and thank you man, same to you","89C9FA","FFFFFF","0","1","False"
"Cherish4","The greatness of a nation and its moral progress can be judged by the way its animals are treated.","New Suicide Squad image shows Jared Leto as The Joker in full costume https://t.co/akYUkCXAc5 via @hypable","9266CC","0","1","1","True"
"sarah_parisot","sofia nsm les autres.","Number crunching for the past day - 5 new followers and 4 unfollowers. Stats via https://t.co/otSlpDKPR4","3B94D9","FFFFFF","1","0","False"
"94hesinspired","Do whatever makes you happy","Hii @Harry_Styles
How was your day? You deserve 
all the happiness, thank you 
for your kind and caring heart.
Mind following me?
-30.730","DD2E44","0","1","1","True"
"RobertSkotzke3","Fossil Ridge High School Senior
Taken by the most amazing girl in the world @okaytoast.
Texas State hopeful!","Can someone get me some earbuds and I pay you back next week? No? Okay :(. #thestruggle #musicless","0084B4","C0DEED","0","0","True"
"The_Sunset_Kid","I enjoy making rap music, drawing, writing graffiti, photography, graphic design, web development, and laughing.","59 and 1/2 Mulberry Street,c1890 https://t.co/zg2N83EfWc https://t.co/kn8V1vs6jw","2FC2EF","181A1E","0","1","False"
"nic_boatman","","What's the point of breaking into my jeep to get 4 dollars???","0084B4","C0DEED","0","1","False"
"HayleyByrne14","blink-182_","I think I'll just make some cookies and perhaps self reflect on my life :)","2FC2EF","181A1E","1","1","True"
"whois_paige","contralto in a world of sopranos, taker of roads less traveled by","I already felt like hammered shit and now there's this load.","EDB4D0","FFFFFF","1","0","False"
"ladmigvaere","_ 19  she/her  intp  eng/ru/dk  hyperthymesiac  business student  traveller  ptv & spector trash _","@svicidemvssion i hope so i miss tour and all the #banter that comes with it _","89C9FA","FFFFFF","1","1","True"
"paully_eFFerson","#SCREENWRITER  --  I got no juice _ I got no juuuuuuice 
*Chance voice*","@BrookeBCNN There's no one else in law enforcement to book? You don't even agree w/ or like the way he goes about his talk","38544","EEEEEE","0","0","True"
"JustinBielski13","#waitonit tville basketball","#sweepstakes #ThisIsWhyWePlay @NBA where families gather around and witness the best players in the world try to inspire our young ones.","0084B4","C0DEED","0","0","True"
"jbbelievejustin","ariana smiled at me bye            ","We became friends becuase of you @MadisonElleBeer and on Friday we met _ @BornInBieber we love u Madison https://t.co/1Bqg0BPQEh","DD2E44","FFFFFF","1","1","True"
"plantboyphill","hi, my names [dan] | phan af | i love a nerd named anne | he/they","I really want to cry and I'm so worried ffuuckkk--","ABB8C2","0","0","1","False"
"ArmyTalkRadio","@sandrabeck host of Military Mom Talk Radio #military #author #talk #radio #host #media #politics","#Transitioning to the community after #military service is strongly assisted by the peer networks #veterans listen https://t.co/9DO7c5E3mg","0084B4","C0DEED","1","0","False"
"EliseRasha","Author in progress. Ready to be on the East Coast, in Philadelphia. Love Norse mythology, love mythology period.","New: About the Novels/Social Media Links - Updated with new Blurbs https://t.co/ifkYLf4byu","0099B9","5ED4DC","1","1","True"
"StrongKamal","Cricket is my first love. Football is my passion. http://t.co/iqTL2sXqTe","One States Struggle to Make Ends Meet: Why Illinois Is Without a Budget https://t.co/KHusLuDsdO","0084B4","FFFFFF","0","1","False"
"ChanIsom","Come on make it easy, say I never mattered","@comedyandtruth That's funny cause his son is 13 and looks nothing like this actually","11F2EB","13F0F0","1","1","True"
"dr_yamini143","Therefore, having obtained the opportunity from these sources, I too began to consider the mobility of the earth.","Build a Transforming Workbench, Desk, and Storage Unit: If you dont have a lot of space, you need to make creative use of what you h...","0084B4","C0DEED","1","0","False"
"pmontoro","Music editor, Beer and Metal columnist, Chicago Reader","Well shit, looks like Girl Band had to cancel their whole stateside tour. I hope the health problems keeping them home aren't too serious.","3075C0","F51714","0","1","False"
"Bigbootyyjudy_","I Love Me...Myself....&....I","Need A Ride Home From Practice ___And its Raining Hard Asf ____","0084B4","C0DEED","1","1","True"
"freedomforthwin","Love God, love freedom found in Christ, love hiphop.

#JesusIsLord #FreedomInHim #ResistSin #Go2Heaven #FollowJesus #RepentNow #FreedomFoundInChrist #LoveGod","If Sweden and Germany Became US States, They Would be Among the Poorest States https://t.co/d93lywQscH","0084B4","C0DEED","1","1","True"
"Gingerw1970","Live life smiling, laughing and dancing like no-ones watching!                Amateur word of mouth unsigned music promoter - not a musician - unfortunately :-D","@thefireflys Bus late so home late but got the last 1/2 hour. Loved it! Musically brilliant &amp; a bit bonkers - I like you even more xxxx","9266CC","0","1","1","True"
"SydneyLaw_","Charlie xxx","So many things coming up and nothing to wear_","FF0000","65B0DA","1","1","True"
"breaunalie","Jeremiah 29:11, Miami University _","@kenziee_marie I miss spring semester and you __","5400B3","C0DEED","1","1","True"
"EvilMarsupials","Documentarian. I make cool little videos sometimes.","@r0samami you're in the city, you could luck up.","0084B4","C0DEED","0","0","True"
"amanda_panda917","Starbucks Junkie. Crazy Cat Lady. Reese's Cup addict.","So exhausted both physically and emotionally.","19D1C8","9944FF","1","1","True"
"DanOfCydonia","Award winning actor, Vocalist/Songwriter/Guitarist for Sunburn Asylum and 3rd Time Riot","@scttpilgrim ive superseded tumblr and pinterest but you should totes follow my instagram for coffee pics","0","0","0","1","False"
"LoveMoe16","","3% and a good hour bus ride to work","0084B4","FFFFFF","1","1","True"
