"Train Accuracy = 39.9999976158"
"Loss = 1.46128"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"Optimalternativ","Be Chill. And Know.","We do not escape into philosophy, psychology, and artwe go there to restore our shattered selves into whole ones. ~ Anas Nin","0084B4","C0DEED","1","0","False"
"_napoleangreen","19 | Aspiring Producer |napoleangreen330@gmail.com","You the one you know me the best","89C9FA","FFFFFF","0","0","True"
"KangenGaa","","One States Struggle to Make Ends Meet: Why Illinois Is Without a Budget https://t.co/b2SmGJsSZ9","AD6751","FFFFFF","1","0","False"
"scott94delaney","When I die I wanna go to hell cause I'm a piece of shit it ain't hard to fucking tell.","I actually don't think these idiots get the joke ___  https://t.co/WOiE1T8Oyy","0084B4","C0DEED","0","0","True"
"feminist_trash","she/her | #blacklivesmatter | #protecttranslives | probably watching kitchen nightmares","@reallysulking m8 the suspense","F5ABB5","0","1","0","False"
"ferny_1995","20, Florida International University, Peter 5:10, Instagram: fernie_29","I honestly think getting a Bachelors is such a waste of time and money, just wish I could jump straight to my PH.D","0084B4","C0DEED","0","0","True"
"NormaSmith93","Dont cry over the past, its gone. Dont stress about the future, it hasnt arrived. Live in the present and make it beautiful.","Between Then and Now  trees #horizons #horizon #sun #beam #ray #s https://t.co/XOsh5MrsRe @nsikder84","0084B4","C0DEED","1","0","False"
"MAConsultancy1","#Marketing #Agency #Consultancy @WelshBiz @LondonBizUK @SouthWestBiz @MidlandsBizUK @NorthernBizUK @UKBizTweet #Twitter #Marketing #Sales #SEO #SocialMedia #B2B","Swansea City pub talk: Gylfi Sigurdssons back, tunnel bust-up and why Swans must drive forward after comical week https://t.co/9nMfU7Q90g","FF0015","FFFFFF","0","0","True"
"AdamDechanel","A writer, artist, producer & publisher. Worked with DC Comics, Evcol, Disney, Okai Collier, Marvel & Warner Bros. Love my comics, tech & dog Odie","What's new in #comics Comics A.M. - Emily Carroll's ""Through the Woods"" Wins British Fantasy Award https://t.co/9ouKT69RA0","007AB3","A8C7F7","0","0","True"
"Ambernoel1211","","One day I will learn to not lay in my bed after taking a shower after the gym. That day isn't today.","0084B4","C0DEED","1","0","False"
"yaaawnuh","18, feeling good living better ","I know I'm exhausted after class when I wake up hours later and still have my scrubs and shoes on __","0084B4","C0DEED","1","0","False"
"54MARIONDelaney","Will show ankle for five minutes of wireless","when my best friend is in an argument and i join in https://t.co/SQx7oPg7s9","0084B4","C0DEED","1","0","False"
"LexieSinclair97","A true queen knows how to build her kingdom with the same stones that were thrown at her.","I got 99 problems and you're 98 of them bye.","981321","696969","1","0","False"
"anahansentweets","If you like home living and interior design, please follow. I add new stuff every day","Grow your followers automatically. Increase retweets and favorites by posting the best content. https://t.co/EgmQBe6KqR","0084B4","C0DEED","1","0","False"
"TudoSobreQuase","","https://t.co/miYAuiSOD0 like and subscribe to the channel https://t.co/7Dp2ScdFwq","3B94D9","0","1","0","False"
"JessieJane_21","","Good Milf Pussy And Ass https://t.co/ZrumJyGHHT #good #milf","0084B4","C0DEED","1","0","False"
"xlarspanda","","I wanna win! Rainbow hair, don't care? Show us and you could win a year's supply of hair dye. LAST DAY:   https://t.co/XgkoyiENIE","0084B4","C0DEED","1","0","False"
"AhmedMarzooq","Secretary General of Maldives Olympic Committee | Member of Olympic Council of Asia's Media Committee I Member of Commonwealth Games Federation's Sports Committ","What if China sent back fake VP and the real one is still in Beijing?","990000","1A151A","0","0","True"
"SabriCancino","JUSTIN DOESN'T FOLLOW ME.  FIFTH HARMONY #CamrenShipper #EMABiggestFansJustinBieber","I Just Voted for @justinbieber for #ArtistOfTheYear Go Here https://t.co/59pNNKWtq9 and Vote for your favorite!  #AMAs #JustinBieber","8C00FF","FFFFFF","0","0","True"
"jamesbez21","","Is it time for a big reunion if bridge win there replay and play Doncaster away in the fa cup @kyledarby1 @HarropMathew","0084B4","C0DEED","0","0","True"
"WarsVintage","Sharing vintage Star Wars finds from eBay!","New on eBay: Star Wars Action Figure Lot, Carded, Various Exclusives And Others, Vintage https://t.co/fYn8g7ofGN","0084B4","C0DEED","1","0","False"
"nanexllc","Founded Nanex LLC, created NxCore, a rich, streaming data feed allowing unparalleled market analysis. Eastern TZ Financial coder since 1984
tips@nanex.net","The event in $FRC and the bust/no-bust trade line: https://t.co/joHRWmWHW8","9999","EEEEEE","0","0","True"
"MohamedHebela","When in doubt, pinky out.  __","He ordered the food on the menu and it's HOT","0084B4","FFFFFF","0","1","False"
"MarcusDCook","Chief Toddler Wranger. Dadjokes and stupid puns mixed with semi deep thoughts. Trying unsuccessfully to keep my stupid thoughts to myself.","I wonder if I say what I think if I can get sacked and sued for libel on the same day.","0084B4","C0DEED","0","0","True"
"Marqel_whoelse","Just because you are a character, doesnt mean that you have character R.i.p. Ashley","@Mark_Brazell5 @AmazingSprtsPic he needs to get healthy and score td's not dance","0084B4","C0DEED","0","0","True"
"e_rky","not easily broken","I'll never understand why I have to pay extra to get my hair styled by the person who just sewed it in. __","0084B4","C0DEED","1","0","False"
"_imalexd","cape verdean 511  $plurgesquad
r.i.p Dery","Stand 10 toe down and get it.","0084B4","FFFFFF","0","0","True"
"caitlinnicole46","For with God, nothing shall be impossible Luke 1:37 || GSU '19 {Southern not State}","The weather today = my heart","FF0000","65B0DA","1","0","False"
"teetertotter57","Annie Okley Gun carrying Conservative who believes in US Constitution. God gave us our free agency & this country was founded on both! Fight 2 keep our freedom!","@Bohicaaa My heartfelt support for all military servicemen. Thank you for your selfless service and the follow, my friend.","0084B4","C0DEED","1","0","False"
"ninawang_","","Taking the piss photos always turn out the best https://t.co/HGpdlhscTL","0084B4","0","1","0","False"
"perfectjt","ayyy lmao","Ima pull a Leo and ""leave it up to God"" like he always does","0084B4","FFFFFF","1","0","False"
"INDIPA","Independent Modere Distributor  Helping you to improve your Health and Wealth. One Person, One Home at a Time","And doing a power of good. https://t.co/0pdajhPi05","0084B4","FFFFFF","0","0","True"
"kigi_love",": Founder of a Nonprofit Focused On Artist Consulting and Development. Lover of Music, Arts, Film, Design, and Literature :","@Mar1a_Horan @MusomasFBI2015 and dont make a temporary solution to a permanent problem","77C2AE","0","0","0","True"
"kyledriver","#MUFC snapchat: Kyledriver","@_ConnorM @SamBotty93 @meganhanxox her room mate hated me and I'd never even met her ______","FF9C11","513930","0","0","True"
"AlhenaSmile","22. Historian. Spanish. Globetrotter. I love London _ Ramen & tomato addict. Tea makes me happy. Damsel in shining armor. Proud member of the Cumbercollective","@Jess5_11 Yep, I know it now. The Spectre premiere __","4A913C","FFFFFF","1","0","False"
"makayla_culp","plymouth  +  .  * +  *  ","I refuse to fall in love _ I'll stay far away until the feelings disappear","0084B4","C0DEED","1","0","False"
"msmadisonashley","baby I'm perfect for you| concert junkie| 311 days Calum Thomas Hood owns my heart","We're at the airport, I shouldn't be telling you this but you guys already know we're here so... Lol I'm dead Ashton _@5SOS","9266CC","FFFFFF","1","0","False"
"MustafaAlzaroni","","Five day holiday for Martyrs' Day, National Day 

https://t.co/ZgUaY4cf1A","0084B4","C0DEED","1","0","False"
"lindsay_mariah9","I'd rather be in a pool.","Can we forget about the things I said when I was drunk? __","0084B4","C0DEED","1","0","False"
"94heskind","secret little rendezvous","@Harry_Styles thank you for being so genuine and an incredible human. You're so selfless and humble, would you mind following me?  108,638","405","FFFFFF","1","0","False"
"EzaMpinda","hello, it's me.","I'm over it. Come visit Nala and I soon___ https://t.co/jL3UPWZ3ex","D3A7DC","222222","1","0","False"
"carrclose","I'm heading straight for the castle / I'm taking back the crown","Multiple people complimented my butt today and it's so empowering. I feel like such a goddess","ABB8C2","0","1","0","False"
"LPollack4","Film/Television major at SCAD","Met one of my idols today @ the Savannah Film Festival and got an autograph :3
#lloydkaufman #SavannahFilmFestival https://t.co/o2CvJdGKdv","9266CC","0","1","0","False"
"Love_Raciah","Nothing Comes To A Sleeper But A Dream #FutureArmyGirl #RIPDB #RIPTony #RIPFatDaddy","We Made A Bond From The Very Beginning I Found My Homie And My Bestfriend Ima Be There For You Till The Very End No Matter What_","FF0000","FFFFFF","1","0","False"
"Based_Benjamin","Northland community college RB class of 16.","Finna buss down in the library __","0084B4","C0DEED","0","0","True"
"cptsgtpeppers","Rocketship builder, pizza expert, Steeler fan and warrior from andromida galaxy","@XboxSupport wrote in about this before netflix app keeps launching itself unprompted while watching YouTube and using other apps and games","0084B4","C0DEED","0","0","True"
"MisterSalesman","#Twittertip #LearnandGrow #Author #Howtouse http://t.co/K7Vw2EFwZq Smart Ideas for people with Vision.  When opportunity comes, it's too late to prepare.","IT'S BEEN 15 LONG YEARS AND I CAN STILL HEAR HER VOICE  https://t.co/d9J34pmlpp #Marriage #Vows #Cheating #Caught https://t.co/SvPuyQdr4x","0084B4","C0DEED","1","0","False"
"CoolStoryWill","You know why I'm here","@__JQuinzel__ oh yeah _ you think he kicking himself in the ass for letting you go?","0084B4","A8C7F7","0","0","True"
"andrewgodwin","Django core developer, web/game programmer, pilot, archer, and misplaced Brit. Also run @aerastu and @depthbuf.","@r4vi Going to virtualise Linux instead; no way a native install would cope with things like the detachable screen and two GPUs.","336699","32436E","0","0","True"
"Porketh","Self made man. Many parts still missing.  All views are my own and retweets are not endorsements.","@robhalloway @MercedesBenz_PR would love to!

Trying to get into the automotive industry but often told lack of industry experience is prob.","3B94D9","0","0","0","True"
