"Train Accuracy = 74.0000009537"
"Loss = 0.615413"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"jiucker","Johns Hopkins Alum - Fixed Income Analyst - $VIX Tourist","@selling_theta not seeing the 15 days to exp vix weeklies yet on ToS. Are you?","0084B4","C0DEED","0","1","False"
"kfobbs","Conservative, professional journalist, pro-life, 2nd Amendment,Tea Party, American Christian Civil Rights Movement,Pres. G.W. Bush White House Projects, author","Top tips for a scary fun and a safe Halloween. Read and share your best ideas @commdiginews https://t.co/nnMrUSjy6x via @po_st","0084B4","C0DEED","0","0","True"
"durrantee","houseplant fanatic, intersectional feminist, coffee addict, writer, photographer and very queer // my holy trinity is Halsey, Lana Del Rey and Melanie Martinez","Halloween is the only thing keeping me motivated this week","0084B4","C0DEED","0","1","False"
"AwesomeBioTA","I now have a PhD in systematic mycology. I'm a taxonomist! We're awesome. Want to be a herbarium curator when I grow up. I knit in my spare time.","@map_maker do you have to be able to speak German? I mean...I could learn for the right price. lol @leon_summer","D02B55","829D5E","1","1","True"
"lomat20","","Should i get up and move or should i own it #replytweet","2FC2EF","181A1E","1","1","True"
"The_Sweeper999","Here to clean the dark streets of Twitter of trash! #fakes #scammers #bullys #racists #catfish your all on my hit list.","@ChantelleHxxx have u ever had 81 retweets Chantelle? @KravenMoor_Head","0084B4","C0DEED","1","1","True"
"leonjose_","Sin l_mites. MV","Wondering how to grow on twitter? I gained 2 followers in the past day. This is the app: https://t.co/aixlsCVMIq","0084B4","A8C7F7","0","0","True"
"Yogirlkaily","Whatever you do, work at it with all your heart, as working for the Lord, not for human masters. TAMU'18 | IG: @k_aily_","I love everything from Victoria's Secret and Pink ughhhh ________","0084B4","C0DEED","1","1","True"
"freid4inn23","Hi, I am  Freida. Have a big sex drive and would love to experience it with a girl. Only hot 20-25 year old girls send me your naked pics or sexy selfies","Hottie is boning two guys at the freeones bedb at https://t.co/U5Ta91zjkK","A80306","0","1","1","True"
"MayhemMike24","1st Team All-PSP | I dabble in the dog food game #PSPGang","@akitch33 @Air_MAX21 one time I found a spider and I 360 YY no scope ladder stall vacuumed it up","0084B4","C0DEED","0","1","False"
"AngeloIgnacio19","","EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens","0084B4","C0DEED","0","0","True"
"LmarieAsad","Community Outreach. Medicaid Managed Care
Board Member United Way Chicago
M.A. Gerontology. Advocate for Underserved Communities. ISU Alumni. ","Thanks to the #ACA more adults are eligible for #Medicaid in #Illinois &amp; able to apply online.  @YoungInvincible

https://t.co/cfwlLqv4K9","0084B4","C0DEED","1","1","True"
"fatinizuki","Be strong, theres a long way to go | 20","the reason why i prefer to watch historical kind of kdrama compared to the modern one is bcs of the good values and messages.","FFCC4D","0","1","1","True"
"m0to","Action adventure geek and entrepreneur","@snipeyhead @mattmireles @cindygallop @aweesan I'm down, my days just got a lot more available!  Let me know where and when!","0000FF","87BC44","0","0","True"
"GilmoreRalphs","","Range himself separate as against profitably push the pen thy buying printing: WkQLexNT","0084B4","C0DEED","1","1","True"
"Coco__Marie","Passionate for Life & Music  Stay Gnarly & Rad Always.","I love that my beachbody coach has known me legit since middle school and she still calls me ""dude"" _______","741BDB","1351CF","1","1","True"
"GombosTennis","twitter updates on tennis player Norbert Gombos - Slovakia - ATP ranking: 120","Norbert Gombos will enter the #ValenciaOpen main draw as a LL.
His 1R opponent is Benoit Paire
#pomeee @Gombitos","0084B4","C0DEED","0","0","True"
"Next_Game_Bro","lel","jk . im angry all the time about it . hint why i never hang out with you guys","2FC2EF","181A1E","0","0","True"
"nthewoods","White southern male progressive Democrat","@davidcorndc likely was already the case - Germans eat sausage at every chance_","0084B4","BDDCAD","0","1","False"
"qdawggass","real bosses dont speak.old page got deleted so follow me .","If anybody try to act like they want smoke then the club will be closed __","0084B4","C0DEED","0","0","True"
"KelseyMcCarson","I am a human.","We should ban zombie movies and TV shows. #2A  https://t.co/QOgy1lacZ7","0084B4","FFFFFF","1","1","True"
"pwnage314","Big Playstation, Witcher 3, MGS, and Halo 1 & 2 fan! #Witcher3 #CDPROJEKTRED #MetalGearSolid #Kojima #Halo #Playstation","@AiringNins @KOSDFF Thats not weird at all. You just have a preference. You prefer the campaign over the MP. Nothing wrong with that.","0084B4","C0DEED","0","0","True"
"DaniMarie31500","STL _","Probably the most relatable tweet ever https://t.co/aIsYQRbMtx","0084B4","C0DEED","1","0","False"
"ElinaTrance","Trance Is My Enlightenment -  Everything That Sounds Like Trance https://t.co/F9m6jOtz13    https://t.co/v5odDjbpxz","With This Greenhouse It Is Now Possible To Grow Crops In The Desert https://t.co/qzPmIUIsvz via @3tags_org","857F87","FFFFFF","1","1","True"
"jerryhullsinger","I am a pianist/singer/song and lyrics writer/arranger and have been playing for 39 years. Rock/pop/blues/jazz/orchestral/gospel/country/ragtime are my mainstays","Chris Duval's show well underway and great music as always! Check it out https://t.co/ajmGNTMOC7 https://t.co/spHKAvROSt","3B94D9","0","0","0","True"
"pellicott1","Outlander fan, music teacher, lover of books and reading, ethnomusicology. Workout buddies with Sam Heughan.","@SamHeughan Ah ha! Mysterious scotsman standing outside Claire's window was really you Sam, trying to haunt the dreams of Metin #wrongwindow","0084B4","C0DEED","1","1","True"
"hayalidny","","THE END https://t.co/zZLMLO34kB","94D487","0","1","1","True"
"SmithCaitlynn","","It's only the second month of school and senioritis is already kicking my ass. ___","0084B4","C0DEED","1","1","True"
"ruthHotReviewTV","r","Man 'wrapped up dead wife like a parcel in bin liners', court hears: A MAN strangled his estranged wife and dumped her body with the ...","0084B4","C0DEED","1","1","True"
"babisofia","Ento est bem.
18. Sporting Clube de Portugal. 1906","Fool me three times, fuck the peace signs
Load the chopper, let it rain on you","2FC2EF","FFFFFF","1","0","False"
"Craigr25","Wordsmith","@MJCentral420 @CannabisSeminar So the cop lover from Baltimore wants to declassify ganja? What .. he's gone and gotten buyer's remorse?","9266CC","0","0","0","True"
"samberlyy","dark and bitter with a spoonful of glitter. 
@travisadkins | matrix | otaku","getting so sick in the bathroom and the girl in the stall beside me is eating carrots or an apple like you're so nasty","90C7AA","EEEEEE","1","1","True"
"vivi_lamperth","Feliz proprietria de uma girafa de pelcia sem pescoo e que se chama Bunny e uma entusiasta de pessoas fora da casinha.","ONE MORE LOOK AND I FORGET EVERYTHING!","3B94D9","FFFFFF","1","0","False"
"fasteddie4555","Edgar meinster minster","Shoutout to my boy @yaboi_stvns he's the ""cutest"" person I've ever met and Ik he will push through the awful thing that happened to him __","0084B4","C0DEED","0","0","True"
"justxxce","rrhs","@BlasianYeezy like me jack in the box tacos_____","0084B4","C0DEED","1","1","True"
"MADIEXGUILLEN","","Me when I take selfies v. Me when I look at the mirror https://t.co/uqYhcUi7Mu","1122FF","0","1","1","True"
"kenideeee","lol","the closer it gets to Halloween, the more I just want to stay in and watch horror movies by self instead of going out","0084B4","C0DEED","1","1","True"
"IanNelson9","May the odds be ever in your favor! p/t stock trader/poker player - msg me to learn how to use ur retirement acct to trade/invest and delay taxes on all profits","pretty scary day for $AAPL...huge volume and could not get back above 116...but it was at 110 a week ago so I guess not horrible","0084B4","C0DEED","0","1","False"
"heynessagirl","_","They still hollering they want pussy to taste like and smell like water.... I just....","9999","EEEEEE","1","1","True"
"87_cjohnson","Space exploration will be the wave of the future, We will be in need of resources","@iveyjanette_207 @trueblacknews @SophiaLamar1 Stop Celebrating pagan rituals, I still ask nothing for myself, read and know what God say's!","0084B4","C0DEED","0","0","True"
"Reallifee_Jamie","Jamie Aleksandra 
HTX|Photographer| 
Meant to be said-so i say it anyways
BUKOWSKI FAN
Music Enthusiast RussianAmerican.","@ideklrh Thanks Girl!:D after so many hours of contacting and emails.. The hard work is paying off now&lt;3","94D487","0","1","0","False"
"iboobah","Running | Mountain Biking | Science & Technology | Photography","Great news - Im going to be running the 2016 Virgin Money @LondonMarathon as part of #TeamBarnardos - totally stoked!","0084B4","C0DEED","0","0","True"
"LalokillaM","Dios, Patria & Libertad. .~My Life: Medicine","Wondering how to grow on twitter? I gained 2 followers in the past day. This is the app: https://t.co/YldCihb7qw","9E1B4C","FF00E1","1","1","True"
"MW__Oh","Comedian, Writer, Producer and Podcaster.
Will sell out for M&M's 
(http://t.co/SW4H30bpAg) or
http://t.co/dxx5UGphXF or also on iTunes","The Jacarandas are out and I have my winter coat back on. Make up your mind Mother Nature","2FC2EF","181A1E","0","1","False"
"frecksyclan","Life is what you make it!","@sainsburys  I stupidly only brought one of these the other day and returned for another but none left,do u have.... https://t.co/dlGpLJMznu","0084B4","C0DEED","0","1","False"
"SadikiBakari","Empowerment Specialist, Luminary, International Organizer, Master Orator/Scribe, National Visual Lecturer, Author. Father, Friend.","Hip Hop on a profound level. Where is hip hop and the music industry headed? Order today @ https://t.co/VdUcpcLDCl https://t.co/EYofwgMhHq","0084B4","C0DEED","0","1","False"
"aerosmith071","Online Media Enthusiast,Compulsive Blogger,Loves outdoors, Intellectual Conversations... and Coffee...","Hollywood's bold and daring at the "" Costume Institute benefit Met Gala | Trending News https://t.co/ht4utgKhbl","FF0000","F2E195","0","1","False"
"kayyfiree","things are looking fucking bleak // @hyp0c","@FaZe_Osama who the fuck even are u","0","FFFFFF","1","1","True"
"ChildsMclutchen","#LetsdoThis #KaBitch #YoouuKno #Unscripted #TruthReTold","When the time is right... Lightning will strike... Sooner than later #Machine #LetsDoThis_ https://t.co/Gd2P7Wqrto","94D487","0","0","0","True"
"AliceNicholls_","I teach women what to focus on to go from BLOG TO PROFIT. No fluff. Terrible dancer.","How To Blog Less And Reach Further 
https://t.co/hpo2vg4npk
#blogtoprofit https://t.co/Jsee7Parra","0084B4","FFFFFF","1","1","True"
